longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,Income_category,Area_density,Rooms_per_Household,age_category,<1H Ocean,Inland,Island,Near Bay,Near Ocean,Unnamed: 19,area_density,income_category,age_group,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
-122.23,37.88,41,880,129,322,126,8.3252,452600,High,2.555555556,6.984126984,Old,0,0,0,1,0,,2.5555555555555554,High,Old,0,0,0,1,0
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,High,2.109841828,6.238137083,Mid-Age,0,0,0,1,0,,2.109841827768014,High,Middle-aged,0,0,0,1,0
-122.24,37.85,52,1467,190,496,177,7.2574,352100,High,2.802259887,8.288135593,Old,0,0,0,1,0,I removed 207 null values  present in total_bedrooms,2.8022598870056497,High,Old,0,0,0,1,0
-122.25,37.85,52,1274,235,558,219,5.6431,341300,Low,2.547945205,5.817351598,Old,0,0,0,1,0,,2.547945205479452,Low,Old,0,0,0,1,0
-122.25,37.85,52,1627,280,565,259,3.8462,342200,Low,2.181467181,6.281853282,Old,0,0,0,1,0,here I converted ocean_proximity column to an numeric column,2.1814671814671813,Low,Old,0,0,0,1,0
-122.25,37.85,52,919,213,413,193,4.0368,269700,Low,2.139896373,4.761658031,Old,0,0,0,1,0,,2.139896373056995,Low,Old,0,0,0,1,0
-122.25,37.84,52,2535,489,1094,514,3.6591,299200,Low,2.128404669,4.931906615,Old,0,0,0,1,0,added 3 new columns ,2.1284046692607004,Low,Old,0,0,0,1,0
-122.25,37.84,52,3104,687,1157,647,3.12,241400,Low,1.788253478,4.797527048,Old,0,0,0,1,0,1. area_density,1.7882534775888717,Low,Old,0,0,0,1,0
-122.26,37.84,42,2555,665,1206,595,2.0804,226700,Low,2.026890756,4.294117647,Old,0,0,0,1,0,2.Rooms_per_Household,2.026890756302521,Low,Old,0,0,0,1,0
-122.25,37.84,52,3549,707,1551,714,3.6912,261100,Low,2.172268908,4.970588235,Old,0,0,0,1,0,3.age_category for house_median_age,2.172268907563025,Low,Old,0,0,0,1,0
-122.26,37.85,52,2202,434,910,402,3.2031,281500,Low,2.263681592,5.47761194,Old,0,0,0,1,0,,2.263681592039801,Low,Old,0,0,0,1,0
-122.26,37.85,52,3503,752,1504,734,3.2705,241800,Low,2.049046322,4.772479564,Old,0,0,0,1,0,,2.0490463215258856,Low,Old,0,0,0,1,0
-122.26,37.85,52,2491,474,1098,468,3.075,213500,Low,2.346153846,5.322649573,Old,0,0,0,1,0,,2.3461538461538463,Low,Old,0,0,0,1,0
-122.26,37.84,52,696,191,345,174,2.6736,191300,Low,1.982758621,4.0,Old,0,0,0,1,0,,1.9827586206896552,Low,Old,0,0,0,1,0
-122.26,37.85,52,2643,626,1212,620,1.9167,159200,Low,1.95483871,4.262903226,Old,0,0,0,1,0,,1.9548387096774194,Low,Old,0,0,0,1,0
-122.26,37.85,50,1120,283,697,264,2.125,140000,Low,2.640151515,4.242424242,Old,0,0,0,1,0,,2.640151515151515,Low,Old,0,0,0,1,0
-122.27,37.85,52,1966,347,793,331,2.775,152500,Low,2.395770393,5.939577039,Old,0,0,0,1,0,,2.395770392749245,Low,Old,0,0,0,1,0
-122.27,37.85,52,1228,293,648,303,2.1202,155500,Low,2.138613861,4.052805281,Old,0,0,0,1,0,,2.1386138613861387,Low,Old,0,0,0,1,0
-122.26,37.84,50,2239,455,990,419,1.9911,158700,Low,2.362768496,5.343675418,Old,0,0,0,1,0,,2.3627684964200477,Low,Old,0,0,0,1,0
-122.27,37.84,52,1503,298,690,275,2.6033,162900,Low,2.509090909,5.465454545,Old,0,0,0,1,0,,2.5090909090909093,Low,Old,0,0,0,1,0
-122.27,37.85,40,751,184,409,166,1.3578,147500,Low,2.463855422,4.524096386,Old,0,0,0,1,0,,2.463855421686747,Low,Old,0,0,0,1,0
-122.27,37.85,42,1639,367,929,366,1.7135,159800,Low,2.538251366,4.478142077,Old,0,0,0,1,0,,2.5382513661202184,Low,Old,0,0,0,1,0
-122.27,37.84,52,2436,541,1015,478,1.725,113900,Low,2.123430962,5.09623431,Old,0,0,0,1,0,,2.1234309623430963,Low,Old,0,0,0,1,0
-122.27,37.84,52,1688,337,853,325,2.1806,99700,Low,2.624615385,5.193846154,Old,0,0,0,1,0,,2.624615384615385,Low,Old,0,0,0,1,0
-122.27,37.84,52,2224,437,1006,422,2.6,132600,Low,2.383886256,5.27014218,Old,0,0,0,1,0,,2.3838862559241707,Low,Old,0,0,0,1,0
-122.28,37.85,41,535,123,317,119,2.4038,107500,Low,2.663865546,4.495798319,Old,0,0,0,1,0,,2.6638655462184873,Low,Old,0,0,0,1,0
-122.28,37.85,49,1130,244,607,239,2.4597,93800,Low,2.539748954,4.728033473,Old,0,0,0,1,0,,2.5397489539748954,Low,Old,0,0,0,1,0
-122.28,37.85,52,1898,421,1102,397,1.808,105500,Low,2.77581864,4.780856423,Old,0,0,0,1,0,,2.7758186397984885,Low,Old,0,0,0,1,0
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,Low,2.391120507,4.401691332,Old,0,0,0,1,0,,2.3911205073995774,Low,Old,0,0,0,1,0
-122.28,37.84,52,729,160,395,155,1.6875,132000,Low,2.548387097,4.703225806,Old,0,0,0,1,0,,2.5483870967741935,Low,Old,0,0,0,1,0
-122.28,37.84,49,1916,447,863,378,1.9274,122300,Low,2.283068783,5.068783069,Old,0,0,0,1,0,,2.2830687830687832,Low,Old,0,0,0,1,0
-122.28,37.84,52,2153,481,1168,441,1.9615,115200,Low,2.648526077,4.882086168,Old,0,0,0,1,0,,2.6485260770975056,Low,Old,0,0,0,1,0
-122.27,37.84,48,1922,409,1026,335,1.7969,110400,Low,3.062686567,5.737313433,Old,0,0,0,1,0,,3.062686567164179,Low,Old,0,0,0,1,0
-122.27,37.83,49,1655,366,754,329,1.375,104900,Low,2.291793313,5.030395137,Old,0,0,0,1,0,,2.291793313069909,Low,Old,0,0,0,1,0
-122.27,37.83,51,2665,574,1258,536,2.7303,109700,Low,2.347014925,4.972014925,Old,0,0,0,1,0,,2.3470149253731343,Low,Old,0,0,0,1,0
-122.27,37.83,49,1215,282,570,264,1.4861,97200,Low,2.159090909,4.602272727,Old,0,0,0,1,0,,2.159090909090909,Low,Old,0,0,0,1,0
-122.27,37.83,48,1798,432,987,374,1.0972,104500,Low,2.639037433,4.807486631,Old,0,0,0,1,0,,2.6390374331550803,Low,Old,0,0,0,1,0
-122.28,37.83,52,1511,390,901,403,1.4103,103900,Low,2.23573201,3.749379653,Old,0,0,0,1,0,,2.235732009925558,Low,Old,0,0,0,1,0
